ticker,name,sector,current_price,trailing_pe,price_to_book,market_cap,52_week_high,52_week_low,fetched_at
BAJAJHFL.NS,Bajaj Housing Finance,lender,84.02,26.012383,3.1069038,699774140416,117.0,72.65,2026-08-31T10:36:48.712733+00:00
HUDCO.NS,HUDCO,lender,182.05,8.567059,1.6579391,364445892608,246.85,159.0,2026-08-31T10:36:48.712733+00:00
IDFCFIRSTB.NS,IDFC First Bank,bank,85.97,33.19305,1.559971,741208358912,88.76,58.08,2026-08-31T10:36:48.712733+00:00
LICHSGFIN.NS,LIC Housing Finance,lender,538.4,5.160548,0.7149497,296153907200,598.2,458.9,2026-08-31T10:36:48.712733+00:00
PNBHOUSING.NS,PNB Housing Finance,lender,1148.7,12.953315,1.5572679,299585437696,1211.5,729.6,2026-08-31T10:36:48.712733+00:00
CANFINHOME.NS,Can Fin Homes,lender,795.3,9.377432,1.770741,105897844736,971.5,715.0,2026-08-31T10:36:48.712733+00:00
PFC.NS,Power Finance Corporation,lender,336.3,4.261277,0.7764735,1109824110592,486.5,329.9,2026-08-31T10:36:48.712733+00:00
RECLTD.NS,REC Limited,lender,323.3,5.320935,1.0109538,851321290752,390.5,304.05,2026-08-31T10:36:48.712733+00:00
IRFC.NS,Indian Railway Finance Corp,lender,83.34,15.180327,1.9174929,1089129283584,137.17,82.9,2026-08-31T10:36:48.712733+00:00
IREDA.NS,IREDA,lender,116.5,16.571835,2.3740628,327275446272,163.35,108.65,2026-08-31T10:36:48.712733+00:00
BEL.NS,Bharat Electronics,industrial,414.45,49.33929,12.629125,3029537914880,473.45,367.55,2026-08-31T10:36:48.712733+00:00
BPCL.NS,Bharat Petroleum,energy,324.05,8.081047,1.3826251,1384531099648,391.65,266.6,2026-08-31T10:36:48.712733+00:00
HINDPETRO.NS,Hindustan Petroleum,energy,365.75,46.533077,1.187342,778251075584,508.45,316.2,2026-08-31T10:36:48.712733+00:00
NHPC.NS,NHPC,power,76.72,28.102564,1.864444,770655059968,89.22,71.62,2026-08-31T10:36:48.712733+00:00
SJVN.NS,SJVN,power,64.71,36.767044,1.7872235,254297030656,95.58,63.02,2026-08-31T10:36:48.712733+00:00
LEMONTREE.NS,Lemon Tree Hotels,hospitality,106.25,35.77441,6.044488,84133806080,180.68,99.61,2026-08-31T10:36:48.712733+00:00
SUZLON.NS,Suzlon Energy,industrial,47.52,20.751093,6.6807256,653199540224,61.5,38.19,2026-08-31T10:36:48.712733+00:00
COALINDIA.NS,Coal India,mining,401.75,7.9444337,2.0785906,2475876155392,491.25,369.6,2026-08-31T10:36:48.712733+00:00
